ng,מסגד,outskirts,פרוורים,meticulous,"מדוקדק, קפדני",impregnable,"בלתי חדיר, בלתי מנוצח",divergence,"שונות, סטייה",ponderous,"כבד מאוד, מסורבל, מגושם",demean,"להשפיל, לזלזל",turbulence,"מהפכה, ערבוביה",outrage,"1.זעם, שערוריה 2.עלבון",paternal,אבהי,synonym,"סינונים, מילה נרדפת",suceptible,"רגיש, פגיע",intricate,מורכב
speck,"נקודה, כתם",ravine,"גיא, עמק",altitude,"גובה, רום",undertaking,משימה,beforehand,מראש,temperament,"מזג, אופי",mutiny,"למרוד, מרד",urine,שתן,drought,"בצורה, תקופה של מיעוט גשמים",antihetical,מנוגד,,,redundant,"מיותר, חוזר על עצמו",,
,,,,,,,,,,,,namely,"דהיינו, כלומר",uterus,רחם,dub,1.לכנות 2.לדובב,procrastination,דחיינות,virtue,מעלה,microbe,חיידק,,
grandeur,"הוד, תפארת",resin,שרף (של עץ),vellum,"קלף, מגילה",inversely,בצורה הפוכה,declare,להצהיר,momentary,רגעי,nasty,"דוחה, מגעיל",vascular,קשור לכלי הובלה של נוזלים בגוף,,,lightheartedness,קלילות,mild,"עדין, רך",access,1.גישה 2.זכות כניסה,,
alum,אחד שסיים את הלימודים האקדמיים,rigorously,"בקפדנות, בחומרה",remnant,"שארית, שריד",dates back to,מתוארך ל,enfeeble,להחליש,detain,לעכב,nod,"להנהן, להניד ראש ",wart,יבלת,dweller,תושב,bestow,להעניק,thrust,להדוף,fractured,"שבור, סדוק",,
pyre,מדורה,vault,חדר גדול מתחת לאדמה שמשמש לאחסון,prolific,"פורה, שופע",meticulous,"קפדן, קפדני",intent,"משתוקק, רוצה מאוד",bothersome,"מטריד, מרגיז",nondescript ,חסר ייחוד,clot,1.להתקרש 2.קריש דם,dwindle,"להתמעט, להידלדל",handful,"קומץ, מספר מועט",asset,נכס,oblivious,"מתעלם, לא מודע",,
cusp,"1. ניב, חוד, חרמש, חצי סהר 2. נקודת מפנה",brevity,"קיצור, תמצתיות",fleet,צי,endemic,מקומי,impreganble,בלתי מנוצח,cite,לצטט,novice ,"טירון, מתחיל",indispose,1.להחלות 2.לפגוע בתקינות,dye,"1.לצבוע, צבע",upheaval,"תהפוכות, התקוממות",troupe,"להקה, הרכב",livelihood,1.פרנסה 2.חיים,,
chasten,לחנך,greenhouse,חממה,puny,1.חלש 2. חסר ערך,to date,עד כה,drab,"משעמם, חסר צבע",assertion,טענה תקיפה,nucleus,גרעין,pore,"1.נקבובית 2.לשקוע, להתעמק",To and fro,הלוך חזור fro- בחזרה,faculties,כישורים,supper,ארוחת ערב,reinstate,"להחזיר למעמדו, השיב על כנו",,
duly,"כראוי, כהלכה",plaza,כיכר,drape,"וילון, מסך",accompanied,מלווה על ידי משהו או מישהו,deceit,"רמאות, הונאה",neat,"נקי, מסודר, יעיל",,,,,,,,,,,,,,
limp,לצלוע,thrived,שיגשג,tablecloth,מפת שולחן,compact,"קטן, קומפקטי",wicked,"רשע, רע",hitherto,"עד כה, עד עכשיו",narrate,"לספר, לקריין ",accustomed,"מורגל, שהסתגל למצב",celibacy,"פרישות, רווקות",disciples,תלמידים,preventive,"מניעתי, למנוע",insight,"תובנה, הבנה מעמיקה",,
,,,,,,,,,,,,neat,"מסודר, מאורגן",acute,"חד, חריף",assess,להעריך,emerge,מופיע,diversion,1.פעילות לשעות הפנאי 2.פעולת הסחה,friction,חיכוך,,
peer,"חבר, עמית ",compile,"קיבץ, ליקט",eerily,"באופן מפחיד, באופן משונה",faint,"חלש, דהוי",quarrel,"ריב, לריב",sensible,"הגיוני, שקול",negate,לשלול,agility,"זריזות, קלילות",,,recitation,דקלום,grind,לטחון,punctual,"דייקן, דייקני",,
cot,מיטת תינוק,preeminent,"דגול, מצטיין",contemplated by,נשקל על ידי,blush,להסמיק,extent,"שיעור, היקף, מידה",complaisance,"אדיבות, נכונות לעזור לאנשים",nerve ,"אומץ לב, תעוזה ",allure,"קסם, משיכה",attic,עליית גג,resentment,התמרמרות,thorough,"יסודי, מוחלט",forgo,"לוותר, למנוע מעצמך",,
undergirded,"לתמוך, לחזק משהו, להיות בסיס עבורו",exorbitant,"מוגזם, מופרז",artifically,באופן מלאכותי,sulk,לזעוף,fundamentalist,"מאמין בתורה שבעל פה, ללא פרשנות",detemine,"לקבוע, להחליט",nocturnal,לילי,animate,"1.להחיות, להלהיב 2.ליצור הנפשה",bid,1.מכרז 2.הצעה 3.ניסיון 4.לאחל,refund,החזר כספי,alternate,"לסירוגין, חלופי",skyscraper,גורד שחקים,,
tutelage,חונכות,preserved,נשמר,geneorusly,בנדיבות ,onset,"ראשית, התחלה",feast,"משתה, לזלול",stench,סירחון,nomad,נווד,animosity,"איבה, עויינות",constructed,בנה,pulls off,מצליח,contentious,מעורר מחלוקת,eternal,נצחי,,
averse,מתנגד,unparalleled,"שאין כמוהו, אין דומה לו",framework,"מסגרת, שלד",elope,"לברוח, לנוס",repudiate,"להתכחש, לגנות, להתנער מ",adhere to,לדבוק ב,notorious,1.מפורסם 2.ידוע לשמצה,,,riddle,"לחוד, חידה",takes on,לקחת על עצמו,wickedness,"רוע, רשע",unification,איחוד,,
puny,"עלוב, חלש",eased,"הקלה, להקל",extension,הרחבה,abhorred,"משוקץ, נתעב",eminence,חשיבות,supertitiously,"חשאי, באופן סודי",,,,,,,,,,,,,,
sinew,גיד,scent,"ריח, ניחוח",grasped,"נתפסו, נאחזו",salvage,"להציל, לחלץ",permeate,"לחדור, להתפשט",taxation,מיסוי,nourish,להזין,apparent,"גלוי לעין, נראה",permeate,לחדור,audacious,נועז,acute,"רציני, חמור",permanent,"קבוע, לא משתנה",,
,,,,,,,,,,,,null,"לא קיים, מבוטל",aversion,"סלידה, דחייה",welfare,"סעד, רווחה",lenient,ותרני,commensurate,"תואם, בפרופורציה ",grandeur,"פאר, תפארת",,
rite,טקס,ceased,"חדל, הפסיק",paved,"מרוצפים, סלול",avail,להועיל,spice,תבלין,birch,סוג של עץ,nullify,"לבטל, להפוך ללא קיים",benevolent,נדיב,treason,בגידה,inimitable,בלתי ניתן לחיקוי,confines,גבולות,interdependencies,תלות הדדית,,
pelvis,אגן,defied,"התריס, המרה ",healed,"החלימו, נרפאו",emboided,"להמחיש, לגלם",troupe,להקה,zeal,"התלהבות, מרץ",numerical,מספרי,bewilder,לבלבל,intermediate ,"1.בינוני, אמצעי 2.לגשר",impressionistic,מנסה להעביר רושם במקום לומר דברים מדויקים,negligence,רשלנות,stark,"מוחלט, גמור",,
replete,"גדוש, שבע",allude,"לרמוז, להזכיר",asserts,"טוענת, מכריזה",unnavigable,"אי אפשר לנווט בו, לא ניתן לשוט בו ",sloth,עצלות,saturnine,"עצוב, קודר",numerous,"מרובה, רב ",bliss,"אושר, שמחה",conductive,1.מועיל 2.מוליך,mulberry,תות,wharf,מזח,repudiate,"להתנער, לדחות",,
enormity,"ענק, עצום",literate,יודע קרוא וכתוב,alerts,מתריעה,expatriate,גולה - עזב את מדיניתו וחי באחרת,perished,נספה,residue,"שארית, שריד",nurture,"לטפח, להאכיל ",bothersome,"מטריד, מפריע",sumptuous,"מפואר, מהודר",rectungular,בצורת מלבן,fallacy,רעיון מטעה,militate,"לפעול נגד, להקשות על",,
mannequins,"בובות, דוגמניות פלסטיק ששמים עליהם בגדים",precipitate,לזרז,amends,מתקנת,furnace,"כבשן, תנור",excavation,חפירה,grief,"צער, יגון",offspring ,צאצא,,,prevalent,"נפוץ, שכיח",prestige,יוקרה,adaptable,שניתן להתאימו,conceptualize,"להמשיג, להפוך משהו למושג",,
jaundice,צהבת,intricacy,"מורכבות, סבוך",sweeping,"סוחף, גורף",disposal,להיפטר ממשהו,contain,להכיל,defiant,סרבן,,,,,,,,,,,,,,
dissipated,התפוגג,unfathomable,"בלתי מובן, שלא ניתן לשערו, בל יתואר",hang,תולה,preamble,"הקדמה, דבר פתיחה",trace,"זכר, שמץ",entwine,"לשלב, לקלוע, לשזור",oral,1. שקשור לפה 2.בעל פה,bumpy,"לא שטוח, גבשושי",transient ,"זמני, ארעי",ample,"נרחב, מרובה",interpreter,"פרשן, מתורגמן",intoxication,1.שכרות 2.הרעלה,,
,,,,,,,,,,,,orbit,"1.להסתובב, לחוג 2.מסלול",carried away,"כאוטי, משולל סדר",chamber ,"תא, לשכה",,,rout,"להביס, להנחיל תבוסה",upbeat,"חיובי, עליז",,
macabre,"מבעית, מחריד",maladjusted,לא מותאם,sketched,"רשם, שרטט",indispensable,"חיוני, הכרחי",contemporary,עכשווי,hearsay,שמועה,orphanage ,בית יתומים,coarse,"גס, מחוספס",particle,חלקיק ,herein,"כאן, בזה",oscillate,"להיטלטל, להתנודד",impetuously,"בפזיזות, בצורה אימפלוסיבית",,
kinship,קרבה,reluctant,"לא מעוניין, מסוייג",pleaded,התחנן,bequest,"עיזבון, ירושה",deficiency,חוסר,commerce,מסחר,outdated,מיושן,cocky,"שחצן, יהיר",flagrant ,"שערורייתי, מעורר מחלוקות",commercially,מבחינה מסחרית,procure,להשיג משהו שקשה להשגה,ennobling,"כיבד, האדיר",,
consent,"להסכים, לאפשר",ambitious,שאפתן,weary,"עייפים, תשושים",marital,"זוגיות, של נשואים",obsolete,מיושן,compulsory,חובה,outer,חיצוני,colossal,"ענקי, אדיר ממדים",fragrance,ניחוח,tamer,מאלף,falsehood,שקר,slouch,"הלך בריפיון, השתופף",,
cavalier,"בצורה מזלזלת, יהירה",stature,"גובה, קומה, שיעור קומה",regal,מלכותי,input,"קלט, תשומה",discernible,ניתן להבחין,union,"איחוד, להתאגד",oblige ,"1.להכריח, לחייב 2.לעשות טובה למישהו",compassionate,"רחום, חומל", marble ,שיש,blending,התמזגות,heart-rending,קורע לב,vase,"אגרטל, כד",,
puzzled,"תמה, להתלבט",refine,"ליטש, עידן",discreet,"חשאי, דיסקרטי",admonished,"לנזוף, להזהיר",sacred,קדוש,skimp,להתקמצן,oblivion ,"אבדון, שיכחה",competent,"מוכשר, בעל יכולת",martial,"צבאי, קרבי",antler,קרן הצבי,dimension,"מידה, כמות, היקף",artifact,חפץ,,
squiggly,מתפתל,pollinate,האביק,sentiment,רגש,attire,"לבוש, תלבושת",refrain,הימנע,stagger,"ללכת לא יציב, להתנודד",,,,,,,,,,,,,,
asystole,אין פעילות חשמלית בלב,hoard,"אגר, צבר",specimen,"דוגמה, דגימה",diction,"הגייה, דיקציה",disguise,להסוות,conscience,מצפון,oblivious,"לא מודע, מתעלם",complement,"משלים, השלמה",inevitable ,בלתי נמנע,livelihood,פרנסה,manipulate,1.הפעיל 2.תימרן,harbinger,מבשר (בדרך כלל של משהו רע),,
,,,,,,,,,,,,obscene,"גס, מגונה",compulsive,כפייתי,intermittent ,"מקוטע, לסירוגין",influx,"זרם, נהירה",inevitable,בלתי נמנע,lush,"1.שופע, רענן 2.מיצי",,
pored over,לחקור משהו לעומק,fence,"גדר, משוכה",credit,"אשראי, נקודת זכות",delegation,"משלחת, נציגות",dispose,להיפטר,tortoise,צב,obtain,"להשיג, לקבל",credible,"אמין, שניתן לסמוך עליו",incompatible ,לא מתאים,,,modify,"לתקן, לשנות",volatile,"1.נדיף, מתנדף 2.הפכפך",,
strife,"מריבה, ויכוח",masterminding,"תיכנן, ניהל",pretence,העמדת פנים,circulation,"1. מחזור 2. תפוצה, הפצה",wail,יללה,bride,כלה,obstruct,"להכשיל, להפריע",curious,"סקרן, מעורר תמיהה",cavity,"מחילה, בקיע באדמה, חור",handicap,"מגבלה, מעצור",noble,אצילי,treacherous,"1.בוגדני, בוגד 2.מסוכן",,
dilation,הרחבה,embezzle,"מעילה, מעל (בכספים)",secured,"הבטיח, הון",indexed,"מתוייג, מוכנס לאינדקס",vigilant,דרוך,fundamentalist,מאמין בתורה שבעל פה,obstruction ,"מכשול, הפרעה",cyclical,מחזורי,,,,,praise,"לשבח, דברי שבח",serene,"רגוע, שליו",,
cervix,צוואר הרחם,burrow,"מאורה, מחילה",deceived,"רימה, הונה",contested,"מתמודד, תחת תחרות",dweller,תושב,relatively,באופן יחסי,obsolete ,"מיושן, שעבר זמנו",damp,"לח, רטוב",labyrinth,מבוך,menageries,"ביבר, גן חיות",instant,"רגע, מיידי",dearth,"מחסור, חוסר",,
briefed,"להדריך, לתדרך",destabilizing,"מערער יציבות, החליש",matured,"הבשיל, התבגר",meek,"צנוע, כנוע",commence, להתחיל,contention,מחלוקת,odd,"1.משונה 2.מקרי, מזדמן 3.אי זוגי",daredevil,"נועז, הרפתקני",coral,אלמוג,travesty,פרודיה,provisions,אספקה,manifestation,"גילוי, התגשמות",,
,,,,,,,,,,temper,"כעסני, מזג רגזני",,,,,,,,,,,,,,
exodus,יציאה המונית,scrutiny,"בחינה, בדיקה",resented,"התמרמר, נטר טינה ",recuperate,"להבריא, להחלים",commanded,פיקדו,deliberation,הרהור,ominous ,מבשר רעות,,,mattress,מזרן,obvious,"ברור, מובן",conscientious,בעל מצפון,expedite,"לזרז, להחיש",,
subsidies,סבסוד,plaintiff,תובע,district,מחוז,reinstate,"הוחזר למעמדו, הוחזר למצבו הקודם",praised,זוכה לתשבוחות,extent,"היקף, שיעור",omniscient ,יודע הכל,dearly,"ביוקר, מאוד",rectangular,מלבני,far cry,שונה לחלוטין,derive,"להסיק (לוגית), להפיק",gregarious,"חברותי, ידידותי",,
detriment,"פגיעה, נזק",bankruptcy,פשיטת רגל,virtue,"מעלה, סגולה",affluence,"שפע, עושר",starred,כיכב,bush,שיח,oncoming,"מתקרב, קרב",,,,,insular,מבודד,certainty,"ודאות, דבר בטוח",boisterous,1.רועש 2.נמרץ,,
graze,לרעות,tribute,הוקרה,twig,"זרד, ענף קטן",etiquette,"כללי התנהגות, נימוסים",fussed,"התעסק, נתן יותר מדי יחס למשהו",restore,להחזיר למצב הקודם,opinionated ,עקשן,definitive,"1.החלטי 2.סופי, מוחלט",conciliate,"להתפייס, להשלים",goad,לדרבן,scorch,"לצרוב, לחתוך",tenuous,"קלוש, חלש מאוד",,
etched,"לחרוט, לגלוף",hiatus,"פסק זמן, הפסקה",tedious,משעמם,oversight,"התעלמות, חוסר פיקוח",rebelled,"מרד, למרוד",expend,לבזבז,opportune,"מתאים, הולם",deformed,"מעוות, שאיבד צורתו",,,ostracize,לנדות,instigate,להסית,convoluted,"מסובך, מפותל",,
brow,מצח,logging,"1.לחטוב (עצים), כריתה 2.רשם\תיעד ביומן",amorous,מלא אהבה,blunt,"בוטה, קהה",,,expand,להרחיב,opportunism,ניצול כל הזדמנות ,degrading,"משפיל, מבזה",consolation,"תנחומים, ניחום",peppermint ,מנטה,attorney,עורך דין,fabrication,"1.בדייה 2.יצירה, הכנה",,
prenatal,לפני הלידה,peel,"לקלף, קליפה",ostentatious,ראוותני,raw,"נא, גולמי",interrogated,נחקר,de facto,הלכה למעשה,oppressor,עריץ ,delicate,"עדין, רך",constraint,"אילוץ, מגבלה",haze,"אובך, ערפל",gown,1.גלימה 2.שמלת ערב,amplification,"הגברה, הגדלה",,
,,,,,,,,,,,,,,,,,,,,,,,,,
cerebral,"מוחי, קשור למוח ",oak,אלון,conspicuous,בולט,rash,פריחה,ascend,להתעלות,insomnia,נדנודי שינה,opt,"לבחור, להעדיף",delight,"לענג, תענוג",acute,"חד, ",hymns,"פזמונים, שירה",,אדם הסובל מנדנודי שינה,conciliatory,"לפייס, ליישב סכסוך",,
palsy,שיתוק,patch,"טלאי, תחבושת",toll,"1.אגרה, מס 2.צילצל, קרא",vision,חיזיון,supervise,לפקח,tenuous,"קלוש, דקיק",ordain,"להסמיך, למנות ",,,velvet,קטיפה (אריג משי),delegation,"1.להאציל סמכות 2.משלחת, ייפוי כוח",,משקפיים עם 2 עדשות,belligerent,"1.לוחם, איש מלחמה 2.לוחמני",,
supine,שוכב על הגב (פרקדן),rim,"שפה, שוליים, קצה",bash,"היכה, חבט",hue,"גוון, צבע",reaps,"לקצור, קצר",windfall,מציאה,ordeal,"חוויה קשה, סבל",demented,"מטורף, לא שפוי",disposal,1.שליטה 2.להיפטר ממשהו,entailment,"משמעות, כוונה",,"תערובת, בליל",dilapidated,"רעוע, מוזנח",,
fidgeted ,לנוע בעצבנות,scramble,"לטרוף, לערבב",arson,הצתה,pawn,"למשכן, לעבוט",clasps,"לופת, סוגר",incarceration,"כליאה, מאסר",outburst,"התפרצות (של עבודה, צחוק)",derailed,"ירד מהפסים, השתגע",deliberation,1.דיון 2.הרהור,cursive,"רהוט, ברור",,"לגין, כד לקיבול נוזלים",pristine,"שלא נפגם, חדש לגמרי",,
asunder,"להפריד לקרעים, לרסיסים",rod,"מוט, מקל",breach,"הפר, פרץ",paw ,כפה של בעל חיים,notorious,ידוע לשמצה,gaga,"קוקו, מטומטם",outcast,"מוחרם, מנודה",devalued,1.מוערך פחות משוויו האמיתי 2.שערכו ירד,,,precocity,התקדמות לפני הזמן,,"להתנודד, תנודה",opulent,"מפואר, ראוותני",,
clamp,"שידך, הצמיד, הידק",soak,"השרה, הטביל",jammed,"תקוע, פקוק",rod,מוט,amorous,מלא אהבה,aide,"עוזר, שליש",outdo,"להתעלות בהישגים, לעשות משהו הכי טוב",diligence,"חריצות, התמדה",defiance,"התנגדות, התרסה, אי ציות",,,,1.קירבת משפחה 2.דימיון,penchant,"נטייה חזקה, העדפה",,
ebullient,"משולהב, נלהב",thigh,ירך,brink,"קצה, גבול",startled,מופתע,ostentatious,"ראוותני, יומרני",ensuing,בעקבותיו,outlet,"1. יוצא, יציאה 2.חנות עודפים",discerning,מבחין,deposit,"1.להפקיד, פיקדון 2.מרבץ, משקע",dune,דיונה,,"איש דת, מנהיג דתי",sway,1.להתנדנד 2.להשפיע,,
,,,,,,,,,,,,,,,,,,,,,,,,,
astride,עם רגל אחת מכל צד,pursuit,"1. מרדף 2. מקצוע, משלח יד",deforestation,כריתת יערות,diameter,קוטר,distinctly,באופן מובהק,dislodge,להוציא ממקומו,outlook,"1.התבוננות, צפי 2.תחזית",disgust,"סלידה, גועל",tepid,פושר,masking,מיסוך (הסתרה באמצעות מסיכה),sublime,"נשגב, עילאי",cogent,"משכנע, חריף, ברור",,
plum,שזיף (בהשאלה משהו שהמון אנשים רוצים אותו),malnourished,תת תזונה,incarceration,"כליאה, מאסר",toddler,פעוט,conspicuous,בולט,blunt,לקהות (להפוך לקהה),outrageous ,"מזעזע, מקומם",disparage,"לזלזל, להפחית מערכו של דבר מה",,,venerating,"להוקיר, להעריץ",provisional,"זמני, ארעי",fallacious,"מטעה, שקרי",,
grueling,"מפרך, מתיש",humanitarian,"הומניטרי, שנעשה לרווחת בני אדם",outsourcing,העברה של חלק מפעילויות הארגון לביצוע של גופים חיצוניים,inseparable,בלתי נפרד,blunt,1.קהה (זווית) 2. אחד שמדבר בצורה שהיא פתוחה (לא מנומס),sob,"יבבה, לצעוק",outright,"מוחלט, מקיף",distaste,"סלידה, גועל",dissonant,צורם,phrasal,ביטוי,mugged,נשדד באלימות,partisan,"מוטה לצד, מפלגתי",,
sew," תפר, איחה",coveted,נחשק,conglomerate,"צבר, ליכד, תלכיד",emanate,נבע,superstition,אמונה תפלה,strangling,"חונק, לחנוק",outskirts ,"פרבר, שוליים",dizziness,סחרחורת,assort,"למיין, לסווג",reservoir,"מאגר, בריכה",impassive,"אדיש, לא מביע רגש",ephemeral,"זמני (זמן קצר), בר חלוף",,
gnawing,"כרסום, כירסם",submerge,"השקיע, צלל",envision,"חזה, צפה (עתיד)",amplified,"הגביר, הגדיל עוצמה",implication,"השלכה, משמעות",clammy,לח ודביק,outwit,להערים על משהו,docile,"כנוע, צייתני",duct,"ביב, צינור",completion,סיום,frown,זעף,,,,
meld ,"מעורבב, עירבב",mosaics,פסיפס (יצירת אמנות),pristine,"מושלם, ללא רבב",stern,חמור,restore,לשקם,vestiges,שרידים,overlap,"לחפוף, להקביל",dominate,"לשלוט, להטיל מרות",engraved ,חרוט,castrated,"מסורס, מעוקר",layout,"מערך, תוכנית",,,,
awe,יראת כבוד,paintbrush,"מכחול, מברשת (לצביעה)",chronicle,"תיעד, סיפר את הדברים כסדרם בזמן",pluck,"מרט, תלש",relieve,"להרגיע, להקל",frosted,מזוגג,overlook,"1.להשקיף אל, לצפות (על) 2.לא להבחין",dread,"להפחיד, אימה",revere,"להעריץ, להוקיר",crooks,נוכלים,vigil,"שמירה, השגחה",perpetual,"נצחי, תמידי",,
,,,,,,,,,,,,,,,,,,straying,"תעייה, איבוד בדרך",,,stringent,"מחמיר, קפדני",,
wan,"חיוור, חולני", rodents ,מכרסמים,mercury,"1. כספית 2. מרקורי, כוכב חמה",skidded,החליק,patrolled,סיירו,casket,"ארון מתים, תיבה",override,1.לעקוף סמכות 2.לרמוס,dull,"1.משעמם 2.עמום, קהה",lament,להתאבל,notrazied,"אישור, לאשר",compromise,"1.הקרבה 2.פשרה, להתפשר",,,,
cessation,"הפסקה, הפוגה",flatulence,גזים במערכת העיכול,pygmy,ננס,tyre,צמיג,decompose,להתכלות,darted,לזנק על משהו,overrule ,לפסוק נגד,elusive,"חמקמק, שקשה לתפיסה",fluctuate,להתנדנד,disdain,"בוז,  לבוז ",diligently,"בחריצות, בשקדנות ",verbosity,"טרחנות, מלל מיותר",,
stride,"פסע, הלך",racketeering,סחיטה (פשע),unscathed,ללא פגע,wade,להשתכשך,deflate,להתרוקן מאווויר,crumpled,מקומט,oversee,"להשגיח, לפקח",embittered,ממורמר,relented,"ויתר, נענה לבקשות",impede,"לעכב, להכשיל",interpret,"לפרש, לפענח",brevity,"קצר, תמציתי",,
ambidextrous,שמיומן בשתי ידיו לביצוע פעולות,dumping,"1. השלכה, זריקה 2. הצפה (בכלכלה)",dissent,"חילוקי דעות, מחלוקת",siege,מצור,diminish,להצטמצם,posthumously,לאחר מותו,overtake ,"להדביק, להשיג, לעקוף",enchant,"להקסים, לקשף",reproached,"נזף, האשים",subsiding,"שוכך, שוקע",invariable,בלתי משתנה,marginal,"זניח, שולי",,
trim,"מקושט, מטופח",tariff,תעריף,vacate,"פינה, רוקן",venues,"מקום אירוע, מקום מפגש",concealed,הסתירו,barrettes,סיכות,overthrow ,"נפילה, קריסה",erratic,"בלתי יציב, משתנה תדיר",reimbursed,החזיר את ההוצאות,communal ,"עדתי, ציבורי",prompt,"לעורר, להניע",compliant,1.עומד בתקן 2.צייתן,,
autopsy,"ניתוח לאחר מוות, בחינה לעומק אחרי מעשה",circulatory,מחזורי,conscious,"מודע, ער",exclusion,"הרחקה, מניעה",pledged,התחייב,tat,"לרקום, בד מרופט",oversight ,"השמטה, התעלמות",exquisitely,"בעדינות, בצורה יוצאת מן הכלל",impersonated,"להתחזות, להתחקות",dim,עמום,resolve,1.לפתור 2.להחליט,,,,
clot,"גוש, קריש דם",bias,"הטיה, העדפה",intermittently,לסירוגין,retrieved,"החזיר, השיב",persuasive,משכנע,muddled,מבולבל,pale,"1.להחוויר,חיוור 2.מוט",extravagant,ראוותני,gazed,הביטו,steady,"1.יציב, קבוע 2.מיושב בדעתו",involve,לערב,fickle,"הפכפך, משתנה בקלות",,
,,,,,,,,,,,,,,,,,,,,,,lethargic,"חסר אנרגיה, נרפה",,
palpable,"ברור, מוחשי, ממשי",censorship,"צנזורה, ביקורת",dicey,"קשה, מסוכן",brisk,"רענן, ערני",swollen,"מלא, נפוח",sincere,"כן, ישר",peek,"להציץ, הצצה",,,,,absorption,"קליטה, ספיגה",rather,"בהחלט, במידת מה",resolute,"נחוש, החלטי",,
comatose,"חסר הכרה, מעולף",adulterate,"מהל, דילל",shambles,בלאגן,counterfeit,מזוייף,grateful,אסיר תודה,devious,ערמומי,penetrate,"לחדור, לחלחל",ferocious,"פראי, אכזרי",deducted,להפחית,fragmented,מקוטע,converse,לשוחח,pragmatic,"מעשי, תכליתי",,
doomed,"הולך להיכשל, מת (גמור)",batch,"קבוצה, אוסף, מצבור",discrepancy,"סתירה, אי התאמה",cornstarch,עמילן תירס,burdens,"משאות, מעמסות",altitude,גובה,penetration,חדירה,fierce,"עז, פראי",proclamation,הכרזה,regal,מלכותי,deduce,להסיק,inflammatory,1.מתסיס 2.רפואי - דלקתי,,
pivotal,מאוד חשוב,surrogate,"תחליף, מילא מקום",redistribute,חילק מחדש,harness,רתמה,layer,"שכבה, רובד",pail,"דלי, גיגית",permanent,"קבוע, תמידי",finite,סופי,feasible ,"בר ביצוע, מעשי",stash,"סליק, מחבוא",tube of,צינור של,sparse,"דליל, מועט",,
inured,להתחיל להתרגל למשהו,restrictive,"מגביל, מצמצם",veiled,"מצועף, מכוסה, רעול",euthanized,המית בהמתת חסד,conference,,stucco,טיח,permit,"1.לאפשר, להרשות 2.רישיון, היתר",fleeting,"חולף, בר חלוף",delegated,"האצלה, ייפוי כוח",census,מפקד אוכלוסין,inclined,"נוטה, משופע",ovation,"תשואות, מחיאות כפיים",,
murmur,"מלמל, רטן, נהם",dye,צבע,stipulate,"ציין, הדגיש",marbles,גולות,filtered,סינן,tile,"אריח, מרצפת",persecute,"להציק, להתנכל",forbidding,"מאיים, עוין",perfected,בוצע בשלמות,cement,מלט,refer,1.להפנות 2.להתייחס,,,,
gurney,אלונקת גלגלים (של בית חולים),mucilage,דבק,venture,"הסתכן, העז, יצא להרפתקה",submerse,"להשקיע משהו במים, לצלול",dispensed,"נתן, חילק",sedan,מכונית נוסעים,personnel,"סגל, חבר עובדים",,,pillage,לבזוז,lenient,ותרן,scheme,1.תכנית 2.מזימה,sublime,עילאי,,
,,,,,,,,,,,,,,,,bequeath,להוריש,startlingly,באופן מדהים,,,exacerbate,"להחמיר, להרע",,
inexorable,"נחרץ, החלטי",federated,איחד בפדרציה\באיגוד,annulment,"ביטול, הפרה, פסילה ",frostbite,"מכת קור, כווית קור",cornered,נדחק לפינה,forensics,זיהוי פלילי,philanthropy ,נדנבנות,fragile,"שביר, עדין",barge,"להידחף, להיתקל",amidst,"בתוך, באמצע",tranquil,"שקט, שליו",perpetuate,"להנציח, לשמר",,
truculent,"תוקפני, אגרסיבי",dispute,"ויכוח, פולמוס",avenue,"1.שדרה 2.אמצעי, דרך",chamber,"חדר, תא",tranished,"הוכתם, התלכלך",clover,תלתן,plane,1.מישור 2.מטוס,frantic,1.של אחים 2.חברי,tyranny,עריצות,decadence,"התנוונות, שחיתות",account for,להסביר,dormant,רדום,,
dehiscent,התנתקות,predecessor,"קודפ, קודם בתפקידו",extol,"הילל, שיבח",ligature,"קשר, לקשור",entangled,"הסתבך, סבוך",immaculate,"ללא רבב, ללא פגם",pole,1.מוט 2.קוטב ,frown,הזעפת פנים,,,,,encompass,"להקיף, לכלול",prophetic,נבואי,,
meager,"דל, זעום",landslide,1. מפולת 2. ניצחון ברוב מכריע,clergy,"כמורה, ממסד דתי",sedated,מורדם,preoccupied,"מוטרד, מודאג",cones,קונוסים,press,1.ללחוץ 2.הדפסה 3.עיתונות,fundamental,יסודי,articulate,"לבטא, להגות",drawn,"משוך, שלוף",juxtaposed,מונח זה לצד זה,animate,"1.להנפיש, להחיות 2.מלא חיים",,
solace,נחמה,welfare,"רווחה, סעד",magistrate,שופט שלום,sprout,"נבט, הנץ",dispersed,"הופץ, התפזר",chalk,גיר,prestigious ,יוקרתי,glittering,"נוצץ, זוהר",titular,קיים רק בשם,bohemian,"בוהמי, צועני",grim,זועף,regal,מלכותי,,
scalpel,אזמל ניתוחים,mobilization,"ניוד, גיוס",tumult,"רעש, המולה",pad,לרפד (ריפוד),inflicted,"נגרם, הוטל (בקונטציה שהיא שלילית)",galore,"בשפע, למכביר",prior ,קודם,grim,"1.עגמומי, זועף 2.לא מזמין",crucial,מכריע,moved out,עזב,obtain,"להשיג, לקבל",,,,
