ng	מסגד
staggering	מדהים
handful	חופן
unprocessed	לא מעובד
succumbed	נכנעו
flaunted	התרברב
falsely	שלא בצדק
hassle	להטריד
vinegar	חומץ
binoculars	משקפת
underlying	שנמצא ביסודו של דבר 2.משתמע
reveal	לחשוף
hose	צינור גמיש להשקייה
deity	אלוהות
humidity	לחות
austerity	צנע
commenced	החלה
grimaced	העווה פניו
omen	אות
haste	להיחפז
yeast	שמרים
blaze	להתלקח
compassionately	בחמלה
deliberate	מכוון 2. מחושב
might	עוצמה
relented	התרצה
hasty	בהול
amphibian	דו חיי
underused	לא מנוצל כראוי
bitterly	במרירות (עם הרגשה שלילית)
peculiarities	מוזריות
tanneries	בית מלאכה לעיבוד עורות
influx	זרם
haughty	יהיר
beak	מקור 2.חוטם
blend	להתמזג
underway	בדרך
interpretation	פירוש
longitudinal	אורכי (אורך גדול)
vigilante	חברים בארגון התנדבותי שלוקחים את החוק לידיים
vend	מכר
brink	סף
haze	ערפל
beast	חיה
blueprint	תכנית
fickleness	הפכפכות
momentary	זמני
ignorant	בור
resides	התגורר
Vending machine	מכונת ממכר (מזון)
hazy	אביך
unearth	לחפור 2.לחשוף
manuscript	כתב יד
hospitable	מכניס אורחים 2.נוח
inquisitive	סקרן
consequential	חשוב
sworn	להישבע
delirium	הזייה
destitute	חסר כל
exacerbates	מחריף
harvest	קציר
heap	לערום
carnivorous	אוכל בשר
elopement	בריחה חשאית (נישואים או בריחה ממוסד כלשהו)
chastity	צניעות
relish	הנאה
culminated	הגיע לשיא
misery	אומללות
persist	להימשך
croak	קרקור
bow	להשתחוות 2.קשת
unformed	לא מעוצב 2.חסר צורה
enthusiasm	התלהבות
predisposition	נטייה קדומה
vast	נרחב
bombardment	הפצצה
junction	צומת
pursuing	עסק
hectic	קדחתני (מלא פעילות)
cub	גור
boycott	להחרים
uninhibited	חסר מעצורים
plainness	פשטות 2.ישירות
diffusion	פעפוע
mundane	רגיל
facilitated	הקל
embroil	סבוך
prejudicial	גזעני
scattering	פיזר
fauna	עולם חי
breach	הפרה
uninsured	לא מבוטח
repudiate	להתכחש 2.לדחות
mire	בוץ
emphysema	נפחת (מחלה שמתבטאת בהתנפחות רקמות)
cedar	סוג של עץ (ארז)
outskirt	פאתי
accelerated	הואצו
herd	לאסוף
bulb	נורה 2.פקעת (יצא מתוך צורה של ביצה)
uninvited	לא מוזמן
plough	לחרוש (בעזרת מחרשה)
transcendent	יוצא מן הכלל
artistry	אמנותיות
nail	מסמר
hutherto	עד כה
bestowed	הוענק
hinder	למנוע
flea	פרעוש
dish	צלחת 2.מנה
maladaptive	לא מסתגל
mourn	להתאבל
dormitory	פנימייה
interrogated	חקרו אותו
flock	עדר
bureau	לשכה
unroofed	לא מקורה
decimate	השמדה
whizz	לזוז ממש מהר
volatile	נדיף (היכולת להפוך לגז) 2. בלתי יציב
abrupt	פתאומי
impair	לפגוע
flora	עולם הצומח
busted	שבור 2.נתפס על חם
unscrew	להבריג החוצה
eccentricities	מוזר או מצחיק בדרך משעשעת
soot	פיח
malaise	מבוכה
hoax	מתיחה
valid	תוקף (סמכות)
floral	פרחוני
butler	משרת
automate	ממוחשב 2.אוטומטי
strive	לשאוף 2.להתאמץ
vices	פגמים
diversify	גיוון
scorching	לוהט
tentative	נסיוני
cherish	להוקיר
impaired	מוחלש
idiomatic	ניב (זה ניב)
reprove	לנזוף
formidable	נורא
midwives	מילדת
amnesty	חנינה
imminent	עתיד לקרות
heretic	כופר
inanimate	דומם
fur	פרווה
captivate	להקסים
dialect	ניב (שקשור לאזור גיאוגרפי)
likens	לדמות
referral	הפנייה
slim	רזה
tailor made	בהתאמה אישית
standpoint	עמדה
incidence	כמות 2.שכיחות
cargo	מטען
flute	חליל
archenemy	אויב ראשי
ladder	סולם
sluggish	אדיש
fertility	פיריון
restatement	ניסוח מחדש
contributory	תורם
infant	תינוק
goose	אווז
carriage	עגלה
exquisitely	בצורה מעולה
interferes	להפריע
dispersed	הפיץ
dock	לעגון
tendency	נטייה
infancy	ינקות
greenery	צמחייה 2.חממה
catchphrase	ביטוי קליט
variable	משתנה
ulnae	עצם האמה
insurrection	התקוממות
amplifying	הגביר
precedence	עדיפות
dwindle	להתמעט
infect	להדביק
greenhouse	חממה
catchword	מילת מפתח
variant	גרסה שונה 2.משתנה
sunken	שקוע
impeachment	האשמה
runoff	סיבוב שני (בחירות)
vary	להשתנות
cellar	מרתף
conscientious	מצפוני 2.יסודי
clerk	פקיד
routes	דרך
cremated	שרף (גוויה)
comprise	לכלול
inform	ליידע
harness	לרתום
velocity	מהירות
kiln	כבשן (שמשמש ליצירות אומנות)
course	מהלך 2.מסלול 3.מנה 4.קורס
vault	מרתף שמחזק בניין או ששומרים בו דברים
paramilitary	צבאי למחצה
withstand	לעמוד בלחץ
hawk	נץ
censor	לצנזר
barmaid	ברמנית
merger	מיזוג
clambered	לטפס
evenly	באופן שווה
insert	להחדיר
hay	חציר
vendetta	נקמת דם
paternity	אבהות
echoing	הדהוד
allege	טען
murky	חשוך
integrity	הגינות
hibernate	לישון שנת חורף
chancellor	נגיד
vendor	מוכר או מספק מוצר
pawnshop	בית עבוט
subsided	נרגע
valuation	הערכה
de facto	הלכה למעשה
intellect	חוכמה
hoof	פרסה
chariot	מרכבה
exhilarating	מלהיב
sensible	הגיוני
leased	חכור
retardant	גורם שמעכב
threshold	סף
contemplated by	נשקלו (הורהרו) על ידי
take off	להמריא
undetected	שלא מבחינים בו
revise	לתקן
sophisticated	מתוחכם
intend	לייעד
orchard	בוסתן
charter	שכר 2.כתב זכויות
exonerate	לזכות
irreconcilable	שלא ניתן לפייס עליו
exacerbate	החמיר
graspe	נתפס
chasm	תהום
viable	מעשי
abridge	לקצר
attorney	עורך דין
extravagantly	בדרך ששגורמת לך לבזבז (הרבה משאבים)
infiltrated	הסתנן
desiccated	מיובש
paved	נסלל
foreseeable	שניתן לחזותו
interpreter	פרשן
cipher	צופן
proofreading	הגהה
Practitioners	עוסקים
exploited	מנוצל
sedate	הרגיע 2.סימם
insect	חרק
lesisure	פנאי
isle	אי
pigeon	יונה
cite	לצטט
vindicate	להצדיק
handle	ידית
vendors	מוכרים
exploitation	ניצול
purr	לגרגר
clasp	אבזם 2.לחיצה
engagement	אירוסין 2.מעורבות 3.מחוייבות
gleaned	לאסוף
dismantling	פירוק
euthanize	המית בהמתת חסד
reindeer	איל
clay	חימר
ward	מחלקה
unannounced	מבלי שהוכרז
commerce	מסחר
quantitative	כמותי
resilient	גמיש
immaculate	ללא רבב
cleanse	לטהר
wax	שעווה 2.לגדול
costlier	יקר יותר
silt	טין
stratum	שכבה
trench	חפירה
deprivation	מחסור
situated	ממוקם
shepherd	רועה צאן
cleave	לבקע 2.לשסע
well-prioritized	מתועדף היטב
criteria	קריטריונים
graft	הרכיב
sanctuary	מקלט
fascinate	להקסים
labourer	פועל
sloth	עצלן 2.עצלות
manifestation	ביטוי
divergent	מסתעף 2. סוטה
whopping	גדול בצורה בלתי רגילה
deceived	מרומה
modification	תיקון
impeccable	מושלם
prolific	פורה
diversion	הסחת דעת 2.הטייה
covariance	שיתופיות
abhorrent	שנוא
stuntman	פעלולן
sprig	ענף
granular	גרגירי
flour	קמח
heart - rending	קורע לב
absolute	מוחלט
collegiate	לחבור
altruistic	זולתני
residue	שארית
implementing	יישום
alleges	טוען
implement	להטמיע
swan	ברבור
wrath	זעם
gracious	נעים הליכות
laymen	לא מקצועי
intervene	להתערב
wriggling	התפתל
inspect	לפקח
tick	קרציה 2.לתקתק
blanketed	שמיכה
commensurate	הולם
pseudonyms	שמות בדויים
manslaughter	הריגה
marsupial	חיית כיס
curating	אצר תערוכה
disdained	מזלזל
impoverished	מדולל
toad	קרפדה
pot	סיר 2.עציץ
sight	ראייה 2.השקפה
birch	ליבנה (סוג של עץ)
squaring	מתיישב
intoxicated	שתוי
implore	להפציר
tulip	צבעוני (סוג של פרח)
sip	ללגום
frail	חלש
compulsion	כפייה
inaugural	פתיחה
endorsing	מתן אישור
ombudsman	נציב תלונות הציבור
commonwealth	חבר עמים
urgently	בדחיפות
merchant	סוחר
prodigious	מפתיע
pollutants	מזהמים
poultry	עופות
faciliate	לסייע בעשיית דבר מה
agitated	הסעיר
commute	נסיעה יום יומית לעבודה 2.להמתיק עונש 3.להחליף
restrictive	מגביל
heed	לתת תשומת לב 2.להאזין
net	נטו 2.רשת
milieu	סביבה
sanitizers	חומר חיטוי
caught up with	הדבקת פערים
chew	ללעוס
by all means	בהחלט
incessant	בלתי פוסק
compel	לאלץ
indecency	מגונה
thirst	צמא 2.תשוקה
ailments	מחלות
showcased	מוצג לראווה
given rise to	עורר
folds	מכיל בתוכו
essence	מהות
incidental	מקרי 2.משני
an inference	מסקנה
holstered	נרתיק (של נשק)
godfather	סנדק
Indigenous	ילידי
prosperous	משגשג
compilation	אוסף
a promotion	קידום
reluctant	מסוייג
wane	לדעוך
unaided	ללא סיוע
dampened	לדכא 2. לדכא
buffon	ליצן
inclination	נטייה (למשהו)
underwent	עבר
braying	בכי של חמור
seclusion	הסתגרות
bark	לנבוח 2. קליפה של עץ
detour	מעקף
pillage	לבזוז
collaboration	שיתוף פעולה
rush	נהירה
foreign	זר
compound	תרכובת 2.מתחם סגור
fastened	הידק
Wailing	יללה
asylum	בית מחסה
tinsel	חוטי כסף נוצצים
hurdle	מכשול
motorized	ממונע
comprehension	הבנה
rodent	מכרסם
precarious	רעוע
scorn	לעג
mulch	כיסוי קש
recollection	זיכרון
perhaps	אולי
deliberative	במחשבה
inclined	נוטה
infidelity	כפירה
comprehensive	מקיף
ulcer	כיב
patent	פטנט
thudding	לחבוט
ingenious	גאוני
reprehensible	ראוי לגינוי
subterranean	תת קרקעי
stew	תבשיל
nestling	השעיו
conceded	הודה בהפסד
insatiable	שלא ניתן לסיפוק
casserole	קדרה
conceive	להיכנס להיריון 2.להגות
milling	טחינה
obscurity	ערפול
sprawling	התפשט
dimple	גומת חן
concierge	שוער (ביטחון)
confounded	לבלבל
inventiveness	חדשנות
mounting	עולה
contradict	לסתור
integral	בלתי נפרד
plum	שזיף 2.גוון סגול-אדמדם
merely	רק
capping	חיסה
nourishing	מזין
revelation	גילוי
notably	באופן בולט במיוחד
orchid	סחלב
concur	להסכים
whisker	שפם
dubbed	להעניק למישהו שם חיבה
discounting	הפחית
eviction	פינוי
illusive	מטעה
intelligible	מובן
slug	חילזון
concurrently	במקביל
accessory	מסייע 2.שותף 3.אביזר
exhibit	מוצג
grimacing	עיוות את פניו
spur	דורבן (להמריץ סוס) 2.להמריץ
condense	לדחוס 2.לעבות
valuate	להעריך
amphibians	דו - חיים
delved	חקר
protruding	התבלט
concede	הודה
interest	לעורר עניין 2.ריבית
feline	ממשפחת החתוליים
condolence	צער 2.תנחומים
commentary	פרשנות
eventual	בסופו של דבר
fibrous	סיבי
surreal	הזוי
pea	אפונה
limbs	גפיים
surreptitously	חשאי
abrasive	משפשף
storey	קומה
embarked	יצא לדרך
intermediate	לפשר
aerial	אווירי 2.אנטנה
culminate	להגיע לשיא
verses	פסוקים 2.בתים
molar	טוחן
veterans	יוצא צבא 2. בעל ותק
devious	ערמומי
inventory	מלאי
aerospace	מתחם החלל
chamber	תא
tapered	הצטמק
tenacious	חזק
broaden	להרחיב
reproduce	להתרבות
intersect	להיפגש
alfoat	צף
confiscate	להחרים
hesitant	הססן
hunch	תחושה 2. לקמר את הגב
alignment	מערך
recall	להיזכר
negligent	רשלני
intersection	חיתוך
altitude	גובה
conform	להתאים
snout	חוטם
renewal	חידוש
bait	לפתות
abnormal	לא נורמלי
interval	הפסקה
amidst	בין
conformity	התנהגות לפי הנהלים המקובלים
poll	סקר
suture	לבצע תפר רפואי
patchy	בלתי סדיר
particular	מסוים
aquatic	ימי
conjunction	איחוד
outdo	לעשות משהו טוב יותר
layer	שכבה
ribbon	סרט
agenda	סדר יום
intoxication	השתכרות
ascent	עלייה
connive	להעלים עין 2.לזמום
littere	מלוכלך
Brutish	בהמי
nipping	צביטה
placard	כרזה
precedent	תקדים
correspondence	התאמה
intrigue	לעניין 2.לזמום מזימה
cons	חסרונות
sift	לנפות
noticeably	באופן שקל להבחין בו
extirpations	כריתה
segregation	הפרדה
portfolio	תיק עבודות
intrusion	הפרעה
consecutive	רציף
flakes	פירורים
herbivores	אוכלי עשב
aftermath	תוצאה
brutishly	בבהמיות
iron	לגהץ
domain	תחום
conservation	שימור
provision	ספק
In spite of	למרות
stink	להסריח
common	משותף
irrespective	מבלי להתחשב ב
conserve	לשמר
procession	תהלוכה
fangs	ניבים
irrigate	להשקות
exterior	חיצוני
dislodge	לנשל
martyrs	קדושים מעונים
issue	להוציא
glacier	קרחון
consolidate	לגבש
plea	טענה
intensive	מעמיק
funerary	הלוויה
hampered	נבלם
consonant	עיצור (בדיקדוק)
cliff	צלע
commande	מצווים (ציוו עליהם)
equality	שיוויון
jeopardy	סכנה
inn	פונדק
ajar	פתוח מעט
debris	שאריות של משהו שנשבר או הושמד
resurgence	התעוררות מחדש
conversion	המרה
advertised	מפורסמים
instigate	להסית
generosity	נדיבות
jerk	לטלטל. זעזוע 2.מילת גנאי
inwards	כלפי פנים
constrict	להצר
repudiates	דוחים
smeared	מרח 2. השמיץ
acquaintance	היכרות
corporation	תאגיד
dug	חפר
lateral	צדדי
cohabitation	קשר מיני
forensic	משפטי
heightened	מוגבה
obligatory	הכרחי
latitude	קו רוחב 2.חופש פעולה
contender	מתמודד
a finely tuned	מכוון היטב
convalescence	החלמה
impurities	זיהום
straightened	מיושר
absorbent	בעל כושר ספיגה
duration	משך זמן
jolly	מהנה
mice	עכברים
an ill-fated	בעל גורל רע
profitable	רווחי
swerve	פנה
stripped	נשלל
annual	שנתי
flair	כישרון
jovial	שמח
offshore	רחוק מהחוף 2.פועל מחוץ לארץ
continuity	המשכיות
expanse	שטח רחב ופתוח
grazed	לחך
attest	מעיד
stem	לנבוע
jubilant	מאושר
orient	להתמצא 2.לכוון 3.ארצות המזרח
convey	להעביר
juggle	להטוט
cope	להתמודד
opposing	מתנגד
freelance	עצמאי
prompt	לגרום שמשהו יקרה 2.מהיר
juncture	הצטלבות בזמן
laureate	חתן פרס
patriotic	פטריותי
articulated	דיבר ברור
wrought	מחושל
juvenile	צעיר
cord	חוט
amicable	ידידותי
stimuli	גירוים
turnover	מחזור
inflicted	הסב
justapose	להציב זה לצד זה
prairie	ערבה
corps	חיל
suspension	השעייה
conduct	התנהגות
rampages	השתוללות
kneel	לכרוע ברך
correlate	לתאם
outspoken	גלוי לב
conceited	יהיר
enumerates	ספר
dune	דיונה
fiasco	כישלון חרוץ
timetable	לוח זמנים
settlement	ישוב
correspondent	להתכתב 2.להתאים
textile	אריג
nexus	קשר
parity	שוויון
punctuates	הבליט
tributary	נחל
annihilate	להשמיד
slope	מדרון
council	מועצה
painstakingly	בעמל רב
oscillation	תנודה ממצב אחד לשני (כנ״ל לגבי רגשות)
intended	מיועד
bribe	שוחד
illuminate	להאיר
kin	קרוב משפחה
square	ריבוע 2.כיכר
counsel	לייעץ
benchmark	אמת מידה
stance	עמדה
intercepted	יורט
hammock	ערסל
predominant	משתלט
delve	להתעמק
marred	פגום
edict	צו
latency	דילאי
rejuvenates	החזיר למישהו את הנעורים
outweighed	עלה עליו בחשיבותו
intestine	מעי
consultation	ייעוץ
liberation	שחרור
suburban	פרברי
counteract	לנטרל
opnesses	פתיחות
secluded	מבודד
outback	אזור נידח ולא מיושב
disgraced	מבויש
spleen	טחול
faux pas	טעות חברתית
lay	לשכב 2.לדכא
swamp	ביצה 2.להציף
accreditation	ייפוי כוח
deployed	נפרס
faux	מזוייף
insurgents	מורד
accommodated	אירח 2. העניק
pancreas	לבלב
nomad	נווד
polish	לצחצח
triangular	בעל צורה משולשת
courtyard	חצר
unscrupulous	חסר מצפון
demise	מוות
barter	סחר חליפין
trailed	עקב
alleviate	להקל
labyrinth	מבוך
upward	כלפי מעלה
craftsman	אומן
exclusively	אך ורק
sparse	דליל
reactivation	הפעלה מחדש
ingestion	הכנסת מזון
Soggy	רטוב
posed	עמד
alms	נדבה
vacuum	ריק
resorting	נופש 2.להזדקק
conceivable	מתקבל על הדעת
drapes	וילונות
cadaver	גוויה
mold	עובש
sulked	זעף
valley	עמק
dissonant	צורם
seamlessly	בצורה חלקה
coronary	שקשור ללב
barred	אסור 2. נעול
snare	לכד
predominantly	בעיקר
raged	השתולל
crooked	עקום
iterative	חזרתי
denote	לציין
inhibitory	מעכב
impeached	האשים
leverage	מינף
magnate	איל הון
contraction	צמצום
verge	סף 2.להתקרב לקצה
crossbreed	לעשות הכלאה בין המינים
complementary	משלים
anxious	חרד
sparsely	בדלילות
repealed	ביטל חוק
pylon	עמוד חשמל
portrayal	תיאור
rugged	מחוספס
larceny	גניבה
vista	נוף
cubic	מעוקב
outburst	התפרצות
rejuvenating	מחיה
preventive	מונע
spike	יתן
chatty	להגני
persistence	התעקשות
zip code	מיקוד
cultivate	לטפח
climate	אקלים
circumscribed	מוגבל
eternity	נצח
anode	אנודה - קוטב חיובי
restitute	החזיר
longing	געגועים
legislate	לחוקק
assemble	לחבר
amendment	תיקון
fluid	נוזל
prioritized	תיעדף
prosthetic	ששייך או קשור לתותבת
interface	ממשק - יחסים כללים בין הגורמים השונים
subjugation	שעבוד
leisure	פנאי
immoral	לא מוסרי
utensils	כלים
retina	רשתית (בעין)
fixture	חפצים שהם קבועים במקומם
tabulating	לערוך טבלאות
lenient	סבלני
custody	מעצר 2.משמרת
walrus	סוס ים
mandated	ייפה כוח
coup	הפיכה
customs	מכס
jagged	משונן
tuition	שכר לימוד
lethargic	רדום
wringer	מסחטה (שמוציאה מים)
pyre	מדורה
substation	תחנת משנה
prohibition	איסור
dame	גבירה
combed	מסורק
intricacies	דבר שהוא חלק ממשהו מורכב
ember	גחלת
pursued	עקב אחרי
litter	לבלגן 2.אשפה
prosecution	תביעה
debatable	נתון לוויכוח
penned	נכתב
haggard	כחוש
contradicts	סתר
annexation	סיפוח
harem	הרמון (בית נשים)
livestock	בהמות מבויתות
decadence	התנוונות
comb	מסרק
acolyte	טירון
delegate	ציר
lodge	להתאחסן 2.לינה
slum	שכונת עוני
overjoyed	מתמלא בשמחה
Figuratively	באופן מושאל
legislature	רשות מחוקקת
tranish	להכתים
grind	לטחון
gleefully	בשמחה
lodging	אכסון
skim	לרחף 2.להסיר קרום
overturned	מפיל חוק או שלטון
prejudice	דעה קדומה
commiserate	חש אמפתיה כלפי משהו
counterfeit	מזויף
summit	פסגה
absent	נעדר
dangles	משתלשל
long	ארוך 2.להשתוקק
decipher	לפענח
overrun	לעבור על גדותיו
possession	נכס
zinc	אבץ
undergone	חוה
halt	לעצור
gratify	משביע רצון
repressive	לדכא
longevity	אריכות ימים
thoroughly	ביסודיות
deduction	הסקת מסקנות 2.הפחתה
frailty	חולשה
recite	לדקלם
underage	קטין
delineate	להתוות
dispersing	פיזר
rationalization	רציונלזיציה
deed	מעשה 2.שטר קניין
discerned	מובחן
upholstery	רפידה
tireless	בלתי נלאה (עובד באנרגיה רבה בלי להתעייף)
drain	לנקז 2. לגרום למישהו להיות תשוש
bounce	לקפץ
retaining	לשמר
lucrative	רווחי
subordination	שעבוד
dough	בצק
admant	עקבי
cadence	קצב
repellent	דוחה
commend	לשבח
dispenses	מחלק
eccentric	מוזר
imitated	שמחקים אותו
stillborn	נולד מת
tenor	קול גבוה (של גבר) 2.רוח הדברים (הטון של השיח)
palpable	מוחשי
customization	התאמה אישית
yield to	נכנע ל
reprimands	גוער
lumbar	חולייתי (חלק הנמוך של עמוד השדרה)
deference	כבוד 2.היעתרות - הענות לבקשה
trembles	רועד
eulogizing	הספדה
fad	גחמה
daunting	מבהיל
adjourn	דוחה
lumber	קרשים
affliction	מחלה
resigning	פורש
ephemera	משהו שאינו נועד להישמר
intensify	הגביר
span	השתרע
bundles	חבילות
machinery	מכונות 2.מנגנון
ailment	חולי
defuse	לנטרל
wandering	משוטט
casual	לבוש לא רשמי 2.מקרי
Therein	יש בתוכו
shale	פיצל 2.סוג של סלע
staples	יסודות
lurk	לארוב
majestic	מלכותי
amnesia	איבוד זיכרון
applauding	משבח
internist	רופא פנימי
diss	העליב
currents	זרמים
malfunction	תפקוד לקוי
amputate	לכרות איבר בגוף
outrageous	מקומם
cinch	חבק
implying	מרמז
cetacean	יונק ימי
indulged	התפנק
aorta	אבי העורקים
stagnation	קיפאון
apostasy	כפירה
undercover	חשאי
mansion	ארמון
artery	עורק 2.נתיב
provoked	עורר
poised	ערוך
complement	השלים
woeful	עצוב
marble	שיש (סוג של אבן)
beard	זקן 2.להתנגד
apron	סינר 2.קידמת הבמה 3.רחבה לחנייה של מטוסים
cooker	תנור
retailer	קמנועי
merits	איכויות
margin	שוליים
cartilage	סחוס
dentures	שיניים תותבות
rebel	מורד
op-ed	מאמר דעה
stiffen	הקשה
pulley	גלגלת
conflagration	שריפה
gratitude	הכרת תודה
marginal	גבולי 2.שולי
stuffing	מילוי 2.דחוס
seething	רותח (מכעס) 2.גועש
spasm	עיוות
backpackers	תרמילאי
reprieve	המתיק את דינו
detained	נעצר
gestation	הריון
mark	לסמן 2.כתם
coffin	ארון קבורה
ricocheting	מנתז
commence	להתחיל
maternal	אמהי
conception	התעברות
deploy	להתפרס
adequately	במידה מספקת
protracted	ממושך
asset	נכס
embed	לשבץ
concussion	זעזוע מוח
squinting	פזל
plunder	לבזוז
insight	תובנה
trailblazer	חלוץ
coalition	קואלציה
advantageous	מועיל
mighty	רב עוצמה
pond	אגם
ostentiouly	באופן ראוותני
compulsive	כפייתי
mild	מתון 2.עדין
cripple	נכה
sterile	עקר 2.מחוטא
monetary	כספי
needle	מחט
mixture	תערובת
digit	אצבע 2.ספרה
derision	לעג
Billboards	שלט חוצות 2.לוח מודעות
overseen	להשגיח
undermined	התערער
garment	בגד
moan	לגנוח
dislocate	לנקוע 2.להזיז
taut	עצבני
oblivion	שכחה
feverish	קודח
proposed	מצע
withdraw	נסוג
curl	להסתלסל
deviated	לסטות
reinterpret	פירש מחדש
indictment	כתב אישום
chimney	ארובה
profound	עמוק
mob	להתקהל
receding	נסוג
mumble	למלמל
dose	מנה
wove	ארגו
ensued	התרחש לאחר מכן
affirmative	חיובי
steadfast	יציב
churned up	התכווץ
embryo	עובר המצוי ברחם
desecrate	לחלל
rueful	מעורר רחמים 2.מלא חרטה
shambled	מבולבל 2. ללכת בכבדות
scoop	דלה
induced	השפיע
expectant	כינוי לאישה הרה 2.אדם המצפה לדבר מסוים
douse	שוקע
emaciated	רזה
replenished	התחדש
unfurl	לפרוס משהו
reassure	הרגיע
feminine	נשי
desolate	שומם
staged	מבוים
snickered	צהל
convoluted	מפותל
misuse	שימוש לא ראוי\בלתי הולם
dung	דשן
forehead	מצח
nomadic	נווד
spat	רב
padding	ריפוד
incongruities	לא מתאים
maggots	רימות
certain	בטוח
manifest	ברור
fracture	לשבור
alarming	לעורר פחד
amid	בתוך 2. באמצע
gourmet	גורמה
gregarious	חברותי
twist	פינה 2. תפנית
chuckle	צחק
blurry	מטושטש
crawled	זחל
forthright	ישיר
mar	לפגום
gastric	קיבתי
scheme	תוכנית
heel	עקב 2.כרית כף היד
decay	ריקבון
riveting	מרתק
aperture	צוהר
payout	תשלום
reservation	הסתייגות 2. שמירה על מקום מראש
coordination	קורדינאציה
marvel	להתפלא 2.נס
indigestion	קלקול קיבה
detonation	פיצוץ
measurement	מדידה
contemptuous	חש בוז לגבי משהו
deluge	מבול
midst	אמצע
reactive	תגובתי
manure	דשן
herbivore	אוכלי עשב
marvelous	נהדר
detriment	נזק
pry	חיטוט
erect	זקוף
cursor	סמן (במחשב)
loose	רפוי
iris	קשתית (חלק בעין)
cringed	התכווץ 2.נירתע
reconstructive	משחזר
amalgam	אמלגמה (תרכובת של כספית עם מתכות אחרות) - משמשת רופאי שיניים
futuristic	עתידני
trajectory	מסלול
meager	דל
reluctantly	באי רצון
bisects	חצויים
in a bid	בניסיון
mudslide	מפולת בוץ
inspection	בדיקה
by means of	באמצעות
malady	מחלה
devised	המציא
arc	קשת
stigmatized	סמון כפגום
barbiturate	תרופת הרגעה
farewell	פרידה
administer	לנהל
disposition	נטייה
relic	שריד
sincere	כן
crucial	מכריע 2.חיוני
tether	קשר ברצועה
twinkle	נצנוץ
meddle	להתערב בנושאים של אחר
marrow	תמצית
plowed	שחרשו אותו
meditate	לתווך
menstruation	וסת
morose	עגמומי
lure	לפתות
coyote	זאב ערבות
surged	געש
tusk	ניב
coronal	שקשור לכתר
Medicare	בינוני
disassociate	להפריד
obstinate	עקשן
grate	לשפשף
strict	קפדן
strop	להשחיז
vegneance	נקמה
palm	כף יד 2.דקל
unfeeling	אדיש
slingshot	מקלעת בצורה של Y
occult	נסתר
centipedes	מרבה רגליים
initiatives	יוזמות
orb	גלגל
teetotaler	מתנזר באופן מוחלט למשקאות חריפים
menace	לסכן
disclose	לחשוף
mandibles	לסת תחתונה
dictatorship	דיקטטורה
cement	מלט
insomnia	נדנודי שינה
marginalize	להדיח לשוליים
solidify	מיצק
groom	לטפח 2. חתן
prenatal	שלפני הלידה
discourse	שיחה
dilapidated	רעוע
cascade	מפל מים
shun	נמנע
abdicate	ויתר על כס המלוכה
Periodically	מדי פעם
tardiness	איחור
slur	השמיץ
garnered	אסף
merit	להיות זכאי או ראוי למשהו 2.ערך
prosthesis	תוחב 2.תחליף מלאכותי
aphrodisiac	מעורר תשוקה מינית
vitreous	זגוגי
puffy	נפוח 2.מתנשף
lacerations	חתכים
eloped	לברוח
inundate	הציף
extend	להתרחב
tense	זמן דקדוקי 2. מתח
mid	באמצע
dismiss	לפטר
nearsighted	קצר ראייה
tortured	עינה
distraught	לחוץ
aid	סיוע
travail	מאמץ ניכר
respiration	נשימה
dispense	לחלק
mutilated	פצועים
hobble	ללכת בצורה כושלת
hardy	חסון
mist	לערפל
pulpit	דוכן
wave	גל
tedious	מייגע
nascent	בהתהוות
outlet	יציאה
perilous	מסוכן
pulp	חומר כתוש
sanitation	תברואה
disposal	שליטה 2.להיפטר ממשהו
Tribune	בימה
salutatory	צוהל
clinch	חבק
startle	להבהיל
scar	צלקת 2.לצלק
disproportion	יחס שגוי
drooled	הזיל ריר
cheifly	בעיקר
mitigating	הפחתה
harbinger	מבשר (מודיע מה הולך לקרות)
revenue	הכנסה
scarce	נדיר
whistle	משרוקית
lawn	בד
vultures	נשרים
balaclava	כובע גרב
upheaval	מהפך
serum	נסיוב
mount	להעפיל
syrinage	מזרק
indicate	לציין
persuaded	משוכנע
inextricable	בלתי נפרד
stigmatizing	יוצר סטיגמה
trill	סלסול (של קול)
distillation	זיקוק
brief	קצר
avalanche	מפולת שלגים
uprooting	עקר
dismay	אכזבה
thumb	בוהן
forays	גיחות
rehearsals	חזרה
apt	מתאים
persevere	להתמיד
mud	בוץ
toxin	רעלן
draft	טיוטה 2.גיוס 3.רוח פרצים
abutting	להיות סמוך
artillery	תותחנים
revolt	מרד
muffled	לכסות
tremor	רעידה
tinge	גוון
cashew	קשיו
limelight	אורות הבמה
phrase	ביטוי
murmur	למלמל 2.לנהום
droppings	גללים
heartleft	כן
commuter	נוסע
crude	גס
drove	עדר
irate	זעם
speck	נקודה
ravine	גיא
undertaking	משימה
temperament	מזג
mutiny	למרוד
urine	שתן
drought	בצורה
antihetical	מנוגד
uterus	רחם
dub	לכנות 2.לדובב
procrastination	דחיינות
microbe	חיידק
resin	שרף (של עץ)
vellum	קלף
inversely	בצורה הפוכה
declare	להצהיר
nasty	דוחה
vascular	קשור לכלי הובלה של נוזלים בגוף
lightheartedness	קלילות
access	גישה 2.זכות כניסה
alum	אחד שסיים את הלימודים האקדמיים
rigorously	בקפדנות
dates back to	מתוארך ל
nod	להנהן
wart	יבלת
